 component   0 : { size: 11927552, (unique: 7914054), root:   0, level:   0, parent:   0 } 
 component 298 : { size:   1, (unique:   1), root: 8889496, level:   2, parent:   1 } 

 component 299 : { size:   2, (unique:   2), root: 8914653, level:   2, parent:   1 } 

 component 300 : { size:   1, (unique:   1), root: 8927072, level:   2, parent:   1 } 

 component 301 : { size:   1, (unique:   1), root: 8932160, level:   2, parent:   1 } 

 component 302 : { size:   1, (unique:   1), root: 8935780, level:   2, parent:   1 } 

 component 303 : { size:   1, (unique:   1), root: 8961610, level:   2, parent:   1 } 

 component 304 : { size:  11, (unique:  11), root: 8963610, level:   2, parent:   1 } 

 component 305 : { size:   1, (unique:   1), root: 8967740, level:   2, parent:   1 } 

 component 306 : { size:   2, (unique:   2), root: 8972194, level:   2, parent:   1 } 

 component 307 : { size:   1, (unique:   1), root: 8978570, level:   2, parent:   1 } 

 component 308 : { size:   1, (unique:   1), root: 8979014, level:   2, parent:   1 } 

 component 309 : { size:   1, (unique:   1), root: 9009457, level:   2, parent:   1 } 

 component 310 : { size:  29, (unique:  29), root: 9010011, level:   2, parent:   1 } 

 component 311 : { size:   1, (unique:   1), root: 9016243, level:   2, parent:   1 } 

 component 312 : { size:   2, (unique:   2), root: 9024798, level:   2, parent:   1 } 

 component 313 : { size:   1, (unique:   1), root: 9025424, level:   2, parent:   1 } 

 component 314 : { size:   1, (unique:   1), root: 9054576, level:   2, parent:   1 } 

 component 315 : { size:   1, (unique:   1), root: 9055156, level:   2, parent:   1 } 

 component 316 : { size:   1, (unique:   1), root: 9065740, level:   2, parent:   1 } 

 component 317 : { size:   1, (unique:   1), root: 9071026, level:   2, parent:   1 } 

 component 318 : { size:   1, (unique:   1), root: 9071651, level:   2, parent:   1 } 

 component 319 : { size:   1, (unique:   1), root: 9075009, level:   2, parent:   1 } 

 component 320 : { size:   1, (unique:   1), root: 9075716, level:   2, parent:   1 } 

 component 321 : { size:   1, (unique:   1), root: 9101532, level:   2, parent:   1 } 

 component 322 : { size:   2, (unique:   2), root: 9117254, level:   2, parent:   1 } 

 component 323 : { size:   1, (unique:   1), root: 9117617, level:   2, parent:   1 } 

 component 324 : { size:   1, (unique:   1), root: 9118162, level:   2, parent:   1 } 

 component 325 : { size:   1, (unique:   1), root: 9118426, level:   2, parent:   1 } 

 component 326 : { size:   1, (unique:   1), root: 9120877, level:   2, parent:   1 } 

 component 327 : { size:  23, (unique:  23), root: 9121057, level:   2, parent:   1 } 

 component 328 : { size:   2, (unique:   2), root: 9150881, level:   2, parent:   1 } 

 component 329 : { size:   1, (unique:   1), root: 9164390, level:   2, parent:   1 } 

 component 330 : { size:   1, (unique:   1), root: 9200917, level:   2, parent:   1 } 

 component 331 : { size:   1, (unique:   1), root: 9242977, level:   2, parent:   1 } 

 component 332 : { size:   1, (unique:   1), root: 9243160, level:   2, parent:   1 } 

