 component   0 : { size: 11927552, (unique: 7947833), root:   0, level:   0, parent:   0 } 
 component 181 : { size:   3, (unique:   3), root: 2393356, level:   1, parent:   0 } 

 component 182 : { size:   1, (unique:   1), root: 2402059, level:   1, parent:   0 } 

 component 183 : { size:   1, (unique:   1), root: 2416833, level:   1, parent:   0 } 

 component 184 : { size:   5, (unique:   5), root: 2437649, level:   1, parent:   0 } 

 component 185 : { size:   3, (unique:   3), root: 2439212, level:   1, parent:   0 } 

 component 186 : { size:   1, (unique:   1), root: 2439942, level:   1, parent:   0 } 

 component 187 : { size:   1, (unique:   1), root: 2446243, level:   1, parent:   0 } 

 component 188 : { size:   1, (unique:   1), root: 2500704, level:   1, parent:   0 } 

 component 189 : { size:   1, (unique:   1), root: 2500887, level:   1, parent:   0 } 

 component 190 : { size:   1, (unique:   1), root: 2512770, level:   1, parent:   0 } 

 component 191 : { size:   6, (unique:   6), root: 2538156, level:   1, parent:   0 } 

 component 192 : { size:   1, (unique:   1), root: 2542197, level:   1, parent:   0 } 

 component 193 : { size:   1, (unique:   1), root: 2554149, level:   1, parent:   0 } 

 component 194 : { size:   1, (unique:   1), root: 2554330, level:   1, parent:   0 } 

 component 195 : { size:   2, (unique:   2), root: 2578262, level:   1, parent:   0 } 

 component 196 : { size:   1, (unique:   1), root: 2578443, level:   1, parent:   0 } 

 component 197 : { size:   2, (unique:   2), root: 2601284, level:   1, parent:   0 } 

 component 198 : { size:   2, (unique:   2), root: 2601465, level:   1, parent:   0 } 

 component 199 : { size:   4, (unique:   4), root: 2632066, level:   1, parent:   0 } 

 component 200 : { size:   1, (unique:   1), root: 2634471, level:   1, parent:   0 } 

 component 201 : { size:   5, (unique:   5), root: 2666047, level:   1, parent:   0 } 

 component 202 : { size:   3, (unique:   3), root: 2678113, level:   1, parent:   0 } 

 component 203 : { size:   3, (unique:   3), root: 2687032, level:   1, parent:   0 } 

 component 204 : { size:   1, (unique:   1), root: 2696569, level:   1, parent:   0 } 

 component 205 : { size:   2, (unique:   2), root: 2741059, level:   1, parent:   0 } 

 component 206 : { size:   1, (unique:   1), root: 2785364, level:   1, parent:   0 } 

 component 207 : { size:   1, (unique:   1), root: 2833519, level:   1, parent:   0 } 

 component 208 : { size:   1, (unique:   1), root: 2929896, level:   1, parent:   0 } 

 component 209 : { size:   7, (unique:   7), root: 2951994, level:   1, parent:   0 } 

 component 210 : { size:   1, (unique:   1), root: 3015766, level:   1, parent:   0 } 

 component 211 : { size:   3, (unique:   3), root: 3023327, level:   1, parent:   0 } 

 component 212 : { size:   1, (unique:   1), root: 3025101, level:   1, parent:   0 } 

 component 213 : { size:   2, (unique:   2), root: 3062540, level:   1, parent:   0 } 

 component 214 : { size:   2, (unique:   2), root: 3067384, level:   1, parent:   0 } 

 component 215 : { size:   2, (unique:   2), root: 3067565, level:   1, parent:   0 } 

 component 216 : { size:   4, (unique:   4), root: 3111143, level:   1, parent:   0 } 

 component 217 : { size:   2, (unique:   2), root: 3185617, level:   1, parent:   0 } 

 component 218 : { size:   1, (unique:   1), root: 3246894, level:   1, parent:   0 } 

 component 219 : { size:   2, (unique:   2), root: 3253112, level:   1, parent:   0 } 

 component 220 : { size:   2, (unique:   2), root: 3293077, level:   1, parent:   0 } 

 component 221 : { size:   1, (unique:   1), root: 3339127, level:   1, parent:   0 } 

 component 222 : { size:  12, (unique:  12), root: 3422163, level:   1, parent:   0 } 

 component 223 : { size:   2, (unique:   2), root: 3485888, level:   1, parent:   0 } 

 component 224 : { size:   1, (unique:   1), root: 3508112, level:   1, parent:   0 } 

 component 225 : { size:   1, (unique:   1), root: 3526241, level:   1, parent:   0 } 

 component 226 : { size:   4, (unique:   4), root: 3537613, level:   1, parent:   0 } 

 component 227 : { size:   5, (unique:   5), root: 3557662, level:   1, parent:   0 } 

 component 228 : { size:   4, (unique:   4), root: 3563182, level:   1, parent:   0 } 

 component 229 : { size:   1, (unique:   1), root: 3574355, level:   1, parent:   0 } 

 component 230 : { size:   2, (unique:   2), root: 3574535, level:   1, parent:   0 } 

 component 231 : { size:   1, (unique:   1), root: 3584022, level:   1, parent:   0 } 

 component 232 : { size:   1, (unique:   1), root: 3613193, level:   1, parent:   0 } 

 component 233 : { size:   1, (unique:   1), root: 3614939, level:   1, parent:   0 } 

 component 234 : { size:   1, (unique:   1), root: 3617943, level:   1, parent:   0 } 

 component 235 : { size:   4, (unique:   4), root: 3618129, level:   1, parent:   0 } 

 component 236 : { size:   1, (unique:   1), root: 3618476, level:   1, parent:   0 } 

 component 237 : { size:   2, (unique:   2), root: 3625846, level:   1, parent:   0 } 

 component 238 : { size:   1, (unique:   1), root: 3648438, level:   1, parent:   0 } 

 component 239 : { size:   3, (unique:   3), root: 3653176, level:   1, parent:   0 } 

 component 240 : { size:   3, (unique:   3), root: 3655355, level:   1, parent:   0 } 

 component 241 : { size:   1, (unique:   1), root: 3655899, level:   1, parent:   0 } 

 component 242 : { size:   4, (unique:   4), root: 3656003, level:   1, parent:   0 } 

 component 243 : { size:   1, (unique:   1), root: 3661530, level:   1, parent:   0 } 

 component 244 : { size:   3, (unique:   3), root: 3662978, level:   1, parent:   0 } 

 component 245 : { size:   2, (unique:   2), root: 3668078, level:   1, parent:   0 } 

 component 246 : { size:   1, (unique:   1), root: 3698863, level:   1, parent:   0 } 

 component 247 : { size:   2, (unique:   2), root: 3698895, level:   1, parent:   0 } 

 component 248 : { size:   2, (unique:   2), root: 3701897, level:   1, parent:   0 } 

 component 249 : { size:   2, (unique:   2), root: 3701973, level:   1, parent:   0 } 

 component 250 : { size:   1, (unique:   1), root: 3709562, level:   1, parent:   0 } 

 component 251 : { size:   1, (unique:   1), root: 3723644, level:   1, parent:   0 } 

 component 252 : { size:   1, (unique:   1), root: 3723998, level:   1, parent:   0 } 

